Nom;Code;Longitude;Latitude;Population
Agassac;31230;0.015499500796612;0.75696871902376;121
Agde;34300;0.060572629436768;0.75596996703597;19988
Agel;34210;0.049775812354127;0.7563966054426;167
Agen;47000;0.010840431546978;0.77157129733386;30170
Agen-d'Aveyron;12630;0.046784529011804;0.77417959730549;1012
Agencourt;21700;0.086917397082213;0.82254460007214;422
Agenville;80370;0.036637377593519;0.87554443524192;91
Agenvillers;80150;0.033515172835888;0.87577226867317;181
Ageville;52340;0.093486624865489;0.83967305351812;292
Agey;21410;0.083131006190501;0.82527407387337;258
Aghione;20270;0.16405123913634;0.73496787920543;245
Agincourt;54770;0.10880674199704;0.85055226630818;399
Agmé;47350;0.0060698710348734;0.77652124827296;102
Agnac;47800;0.0064577183156028;0.77938647671076;388
Agnat;43100;0.060189616937745;0.79140012954617;209
Agneaux;50180;-0.019416787096199;0.8572427261777;4476
Agnetz;60600;0.041660032830381;0.86187269831183;2637
Agnez-lès-Duisans;62161;0.046396664566168;0.87804607561189;650
Agnicourt-et-Séchelles;2340;0.068998675549886;0.86772918928599;211
Agnières;62690;0.045460975400737;0.87887025739024;150
Agnières-en-Dévoluy;5250;0.10265445704955;0.78004580881763;212
Agnin;38150;0.084779369747204;0.7913613805523;789
Agnos;64400;-0.010796798357291;0.75336166706435;751
Agny;62217;0.048132304905221;0.87718793852963;1954
Agon-Coutainville;50230;-0.027493788497759;0.85595309041983;2723
Agonac;24460;0.013094821336568;0.79049352293208;1451
Agonès;34190;0.065095929485673;0.76602013777868;179
Agonges;3210;0.055142701967827;0.81342041044045;357
Agos-Vidalos;65400;-0.0012653636712855;0.75115091046443;290
Agris;16110;0.0058565570330447;0.79895838045688;710
Agudelle;17500;-0.0082466806532553;0.79212737226083;126
Aguessac;12520;0.054090670113462;0.77066955098876;833
Aguilcourt;2190;0.06923623368031;0.86229447644948;359
Aguts;81470;0.033471540686497;0.7597272878599;187
Agy;14400;-0.013342064634863;0.85939529270778;280
Ahaxe-Alciette-Bascassan;64220;-0.020318548005461;0.75313383363309;320
Ahetze;64210;-0.027401670171773;0.7575795815988;1318
Ahéville;88500;0.10813768935218;0.84272250612432;67
Ahuillé;53940;-0.015179512628963;0.83809260056922;1379
Ahun;23150;0.035716227623163;0.80435920456853;1501
Ahuy;21121;0.087639771205519;0.82674793379965;1356
Aibes;59149;0.071437307192936;0.87681462992384;385
Aibre;25750;0.11685464836369;0.82989918573851;455
Aïcirits-Camou-Suhast;64120;-0.017826601125746;0.75644507497443;559
Aiffres;79230;-0.007272211285044;0.80785473665732;4598
Aigaliers;30700;0.075441860912196;0.76897751159019;386
Aiglemont;8090;0.083164936527264;0.86888793067629;1733
Aiglepierre;39110;0.10150543619723;0.81945633189306;342
Aigleville;27120;0.024812769664214;0.8553470881138;248
Aiglun;6910;0.12072829939299;0.76546746527346;106
Aiglun;4510;0.10698868514462;0.76906965696389;1038
Aignan;32290;0.0014398966901117;0.76266522059545;842
Aignay-le-Duc;21510;0.082602560128824;0.83191606421106;402
Aigne;34210;0.04880619701312;0.75629966637891;234
Aigné;72650;0.0020750044340413;0.83890706180959;1349
